player,pos,class,from_school,season,to_school,date_entered
Brandon Metivier,P,SR,Bellarmine,2026,--,2026-04-01
Eddie Albert,P,SR,Dartmouth,2026,--,2026-04-01
Robbie Boykin,P,SR,Presbyterian,2026,--,2026-04-01
Ryan Henschel,CF,JR,Rhode Island,2026,--,2026-03-31
Charlie Chropuvka,DH,SR,Lafayette,2026,--,2026-03-25
Chase Meyer,P,JR,West Virginia,2026,--,2026-03-23
Daniel Tovar,P,SR,Northern Kentucky,2026,--,2026-03-22
Garrison Bullock,C,SR,Bucknell,2026,--,2026-03-18
Davis Baker,SS,SR,Penn,2026,North Carolina,2026-03-11
Aidan O'Keefe,3B,JR,Richmond,2026,--,2026-03-11
Kyle Mueller,P,SR,Presbyterian,2026,--,2026-03-04
Amman Dewberry,RF,JR,Presbyterian,2026,--,2026-03-04
Rob Dorn,P,SR,Lafayette,2026,--,2026-02-02
Brandon Larson,IF,SR,Stanford,2026,USC,2026-01-28
Mikey Myro,P,SR,Bucknell,2026,--,2026-01-20
James Reese,P,JR,Lafayette,2026,--,2026-01-06
Caden Pinnick,OF,FR,UC Davis,2026,Washington State,2026-01-02
Marc Willi,1B,JR,UMass,2026,--,2025-12-29
Antonio Correa,P,SR,Lafayette,2026,--,2025-12-23
Will Russotti,P,JR,Holy Cross,2025,--,2025-12-17
Max Senesac,C,SO,San Diego,2026,--,2025-12-16
Julian Scott,P,SO,Prairie View,2025,--,2025-12-15
Ed Hall,P,SR,Davidson,2026,--,2025-12-15
Sam Gettinger,DH,FR,Stonehill,2025,--,2025-12-15
Matthew Roncalli,C,SR,UAB,2026,--,2025-12-13
Michael Spasaccino,OF,FR,St. John's,2026,--,2025-12-12
Mikhai Grant,P,SO,Northwest Florida State,2026,--,2025-12-12
Cooper Fiskewold,P-OF,FR,Omaha,2026,--,2025-12-11
Owen Anchors,OF,FR,Clemson,2026,--,2025-12-11
Ahmar Donatto,IF,JR,Texas A&M Texarkana,2026,--,2025-12-11
Jaden Ovalles,P,FR,Saint Joseph's,2025,--,2025-12-10
Taye Robinson,RF,SO,Towson,2025,--,2025-12-09
Robert Lastra,P,SR,LSU Shreveport,2026,--,2025-12-09
Kolby Calia,P,JR,San Francisco,2025,Northwest Nazarene,2025-12-08
Jayden Clark,OF,SO,Savannah State,2026,--,2025-12-08
Andrew Holub,UT,JR,Iowa,2025,Jefferson,2025-12-05
Jaylon Richardson,P,FR,UMass,2025,Endicott,2025-12-05
Caden Baker,OF,SO,Rice,2026,Blinn,2025-12-05
Branden Barna,P,JR,UNC Asheville,2026,--,2025-12-05
Joey Hylinski,P,SO,Winthrop,2025,--,2025-12-05
Bobby McDonough,P,JR,UMass,2026,--,2025-12-05
Joshua Peterson,OF,FR,Southern Wesleyan,2026,--,2025-12-05
Legend Fugett,IF,SO,Prairie View,2025,--,2025-12-05
Louis Leon,IF,FR,Waubonsee,2025,--,2025-12-05
Matthew Peterson,IF,SO,Yavapai,2026,--,2025-12-05
Cannon Feazell,P,FR,Clemson,2026,--,2025-12-04
Anthony Wilkie,P,FR,Clemson,2026,--,2025-12-04
Ethan Hunt,P,FR,Houston,2026,--,2025-12-03
John Milewski,P,SO,Brandeis,2026,--,2025-12-03
Liam Willson,LF,SO,Maryland,2025,--,2025-12-03
Jonny Garber,C,JR,Arizona State,2025,--,2025-12-03
Spencer MacInnis,IF,SO,Richmond,2026,--,2025-12-03
Sawyer Wickstrom,P,FR,Utah Valley,2025,East Carolina,2025-12-02
Abe Delano,P,FR,Northern Kentucky,2026,--,2025-12-02
Jack Ghufran,P,FR,San Jose State,2025,--,2025-12-02
Josh Castellani,IF,SO,State College of Florida,2026,--,2025-12-02
James Fagnant,IF,FR,Richmond,2026,--,2025-12-02
Logan Ponnett,IF-C,FR,Charlotte,2025,--,2025-12-02
Myles Johnson,OF,FR,Eastern Kentucky,2026,--,2025-12-01
Preston Sullivan,P,FR,Houston,2026,Rice,2025-12-01
Greg Minnick,P,FR,Texas Tech,2026,Penn State,2025-12-01
Luke Renfrow,C,FR,Eastern Kentucky,2026,Kentucky Wesleyan,2025-12-01
Michael Gatti,P,JR,New Haven,2026,UNLV,2025-12-01
Ben Schild,P,SO,Connecticut,2026,Rowan,2025-12-01
Steele Burd,C,FR,Clemson,2026,Stetson,2025-12-01
Joey Zito,P,FR,Towson,2025,East Stroudsburg,2025-12-01
Brayden Gum,P,SO,Missouri State,2026,--,2025-12-01
Brayden Gum,P,SO,University of Indianapolis,2026,--,2025-12-01
Miles Durvasula,P,JR,Pacific (OR),2026,--,2025-12-01
TJ Addonizio,IF,FR,Richmond,2026,--,2025-12-01
John McCready,P,SO,UA Rich Mountain,2026,--,2025-12-01
Jack Reimann,IF,FR,St. Bonaventure,2025,--,2025-12-01
Branden Brown,P,JR,Frostburg State,2026,--,2025-12-01
William Mann,RF,JR,North Dakota State,2025,--,2025-12-01
Blane Zeplin,P,JR,Stephen F. Austin,2025,--,2025-12-01
Danny Cercello,P,FR,Houston,2026,--,2025-12-01
Aidan Crochier,DH,FR,Lafayette,2025,--,2025-12-01
Ivan Hoyt,P,JR,Davidson,2026,Tennessee Tech,2025-11-30
Jack LaRose,IF,FR,Connecticut,2026,--,2025-11-25
Ian Moore,P,JR,West Georgia,2025,--,2025-11-24
Thomas Iaquinto,IF-OF,JR,Felician,2026,--,2025-11-21
Zachary Zimmerman,1B,SO,Mercyhurst,2025,--,2025-11-20
Tucker DeLisle,P,SO,Northwest Florida State,2026,Saint Joseph's,2025-11-19
Jaxon Walker,OF,FR,Tennessee,2025,--,2025-11-17
Max Tramontana,P,JR,Appalachian State,2026,Purdue,2025-11-14
Brennon Seigler,OF,FR,Tennessee,2025,McLennan CC,2025-11-14
Ryson Ujimori,2B,SR,UC San Diego,2026,--,2025-11-14
Matt Zatopek,P,SO,Rice,2026,--,2025-11-12
Aric Berg,P,SR,Fordham,2026,--,2025-11-12
Jack Smith,P,SR,Harvard,2026,--,2025-11-06
Jake Paulick,C,JR,Northern Kentucky,2026,--,2025-11-05
Nick Bruno,P,SR,UNC Asheville,2026,--,2025-10-31
Alex Irizarry,SS,SR,Quinnipiac,2026,--,2025-10-29
Will Sword,P,SR,Princeton,2026,--,2025-10-21
Gio Colasante,1B,SR,Harvard,2026,--,2025-10-17
Mac Burke,P,SR,Dartmouth,2026,--,2025-10-15
Martin Zhang,P,SR,Columbia,2026,--,2025-10-13
Dylan Reid,P,SR,Brown,2026,--,2025-10-10
Ethan Firestein,P,SR,Bucknell,2026,--,2025-10-09
Ty Harris,P,SR,Brown,2026,--,2025-10-09
Henry Hultquist,P,JR,Davidson,2026,--,2025-10-06
Anthony Torreso,DH,JR,Davidson,2026,--,2025-10-06
Jared Muñoz,LF,SO,UMass,2026,--,2025-10-06
CJ Egrie,CF,SR,Holy Cross,2026,North Carolina,2025-10-03
Nathan Huy,P,JR,UC San Diego,2026,--,2025-10-03
Matt Brown,P,SR,USF,2025,Akron,2025-10-02
Andrew Ruggeri,OF,SR,Penn,2026,--,2025-10-02
Matthew Walters,OF,SR,Cornell,2026,--,2025-10-02
Peter Dubie,P,SR,Brown,2026,Indiana,2025-10-01
Jake Moss,P,SR,Penn,2026,North Carolina,2025-10-01
Itai Spinoza,P,JR,Elon,2025,--,2025-10-01
Stiles Begnaud,P,SR,Brown,2026,--,2025-10-01
Evan Kleinhans,P,SR,Columbia,2026,--,2025-10-01
Milo Suarez,1B,SR,Dartmouth,2026,--,2025-10-01
Taer Rodriguez,3B,SR,Dartmouth,2026,--,2025-10-01
Ryan Egan,P,SR,Fordham,2026,--,2025-10-01
John Cerwinski,P,SR,Penn,2026,--,2025-10-01
Carson Mayfield,P,SR,Cornell,2026,--,2025-10-01
Davis Hanson,1B,SR,Yale,2026,--,2025-10-01
Bode Grieve,RF,SR,Lafayette,2026,--,2025-10-01
Tucker Genovesi,LF,JR,St. Bonaventure,2025,--,2025-10-01
Isaiah Keller,LF,GR,McNeese,2026,--,2025-09-08
Taylor Kaufman,OF,SR,Hamilton,2026,Fordham,2025-08-29
Camden Farmer,P,GR,Texas A&M-Victoria,2026,--,2025-08-08
Tyler Gundelfinger,IF,JR,USC Beaufort,2026,--,2025-04-28
